Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,3,male,22.0,1,0,A/5 21171,7.25,S
1,1,female,38.0,1,0,PC 17599,71.2833,C
1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S
1,1,female,35.0,1,0,113803,53.1,S
0,3,male,35.0,0,0,373450,8.05,S
0,3,male,28.0,0,0,330877,8.4583,Q
0,1,male,54.0,0,0,17463,51.8625,S
0,3,male,2.0,3,1,349909,21.075,S
1,3,female,27.0,0,2,347742,11.1333,S
1,2,female,14.0,1,0,237736,30.0708,C
1,3,female,4.0,1,1,PP 9549,16.7,S
1,1,female,58.0,0,0,113783,26.55,S
0,3,male,20.0,0,0,A/5. 2151,8.05,S
0,3,male,39.0,1,5,347082,31.275,S
0,3,female,14.0,0,0,350406,7.8542,S
1,2,female,55.0,0,0,248706,16.0,S
0,3,male,2.0,4,1,382652,29.125,Q
1,2,male,28.0,0,0,244373,13.0,S
0,3,female,31.0,1,0,345763,18.0,S
1,3,female,28.0,0,0,2649,7.225,C
0,2,male,35.0,0,0,239865,26.0,S
1,2,male,34.0,0,0,248698,13.0,S
1,3,female,15.0,0,0,330923,8.0292,Q
1,1,male,28.0,0,0,113788,35.5,S
0,3,female,8.0,3,1,349909,21.075,S
1,3,female,38.0,1,5,347077,31.3875,S
0,3,male,28.0,0,0,2631,7.225,C
0,1,male,19.0,3,2,19950,263.0,S
1,3,female,28.0,0,0,330959,7.8792,Q
0,3,male,28.0,0,0,349216,7.8958,S
0,1,male,40.0,0,0,PC 17601,27.7208,C
1,1,female,28.0,1,0,PC 17569,146.5208,C
1,3,female,28.0,0,0,335677,7.75,Q
0,2,male,66.0,0,0,C.A. 24579,10.5,S
0,1,male,28.0,1,0,PC 17604,82.1708,C
0,1,male,42.0,1,0,113789,52.0,S
1,3,male,28.0,0,0,2677,7.2292,C
0,3,male,21.0,0,0,A./5. 2152,8.05,S
0,3,female,18.0,2,0,345764,18.0,S
1,3,female,14.0,1,0,2651,11.2417,C
0,3,female,40.0,1,0,7546,9.475,S
0,2,female,27.0,1,0,11668,21.0,S
0,3,male,28.0,0,0,349253,7.8958,C
1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C
1,3,female,19.0,0,0,330958,7.8792,Q
0,3,male,28.0,0,0,S.C./A.4. 23567,8.05,S
0,3,male,28.0,1,0,370371,15.5,Q
1,3,female,28.0,0,0,14311,7.75,Q
0,3,male,28.0,2,0,2662,21.6792,C
0,3,female,18.0,1,0,349237,17.8,S
0,3,male,7.0,4,1,3101295,39.6875,S
0,3,male,21.0,0,0,A/4. 39886,7.8,S
1,1,female,49.0,1,0,PC 17572,76.7292,C
1,2,female,29.0,1,0,2926,26.0,S
0,1,male,65.0,0,1,113509,61.9792,C
1,1,male,28.0,0,0,19947,35.5,S
1,2,female,21.0,0,0,C.A. 31026,10.5,S
0,3,male,28.5,0,0,2697,7.2292,C
1,2,female,5.0,1,2,C.A. 34651,27.75,S
0,3,male,11.0,5,2,CA 2144,46.9,S
0,3,male,22.0,0,0,2669,7.2292,C
1,1,female,38.0,0,0,113572,80.0,S
0,1,male,45.0,1,0,36973,83.475,S
0,3,male,4.0,3,2,347088,27.9,S
0,1,male,28.0,0,0,PC 17605,27.7208,C
1,3,male,28.0,1,1,2661,15.2458,C
1,2,female,29.0,0,0,C.A. 29395,10.5,S
0,3,male,19.0,0,0,S.P. 3464,8.1583,S
1,3,female,17.0,4,2,3101281,7.925,S
0,3,male,26.0,2,0,315151,8.6625,S
0,2,male,32.0,0,0,C.A. 33111,10.5,S
0,3,female,16.0,5,2,CA 2144,46.9,S
0,2,male,21.0,0,0,S.O.C. 14879,73.5,S
0,3,male,26.0,1,0,2680,14.4542,C
1,3,male,32.0,0,0,1601,56.4958,S
0,3,male,25.0,0,0,348123,7.65,S
0,3,male,28.0,0,0,349208,7.8958,S
0,3,male,28.0,0,0,374746,8.05,S
1,2,male,0.83,0,2,248738,29.0,S
1,3,female,30.0,0,0,364516,12.475,S
0,3,male,22.0,0,0,345767,9.0,S
1,3,male,29.0,0,0,345779,9.5,S
1,3,female,28.0,0,0,330932,7.7875,Q
0,1,male,28.0,0,0,113059,47.1,S
1,2,female,17.0,0,0,SO/C 14885,10.5,S
1,3,female,33.0,3,0,3101278,15.85,S
0,3,male,16.0,1,3,W./C. 6608,34.375,S
0,3,male,28.0,0,0,SOTON/OQ 392086,8.05,S
1,1,female,23.0,3,2,19950,263.0,S
0,3,male,24.0,0,0,343275,8.05,S
0,3,male,29.0,0,0,343276,8.05,S
0,3,male,20.0,0,0,347466,7.8542,S
0,1,male,46.0,1,0,W.E.P. 5734,61.175,S
0,3,male,26.0,1,2,C.A. 2315,20.575,S
0,3,male,59.0,0,0,364500,7.25,S
0,3,male,28.0,0,0,374910,8.05,S
0,1,male,71.0,0,0,PC 17754,34.6542,C
1,1,male,23.0,0,1,PC 17759,63.3583,C
1,2,female,34.0,0,1,231919,23.0,S
0,2,male,34.0,1,0,244367,26.0,S
0,3,female,28.0,0,0,349245,7.8958,S
0,3,male,28.0,0,0,349215,7.8958,S
0,1,male,21.0,0,1,35281,77.2875,S
0,3,male,33.0,0,0,7540,8.6542,S
0,3,male,37.0,2,0,3101276,7.925,S
0,3,male,28.0,0,0,349207,7.8958,S
1,3,female,21.0,0,0,343120,7.65,S
1,3,male,28.0,0,0,312991,7.775,S
0,3,male,38.0,0,0,349249,7.8958,S
1,3,female,28.0,1,0,371110,24.15,Q
0,1,male,47.0,0,0,110465,52.0,S
0,3,female,14.5,1,0,2665,14.4542,C
0,3,male,22.0,0,0,324669,8.05,S
0,3,female,20.0,1,0,4136,9.825,S
0,3,female,17.0,0,0,2627,14.4583,C
0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,S
0,3,male,70.5,0,0,370369,7.75,Q
0,2,male,29.0,1,0,11668,21.0,S
0,1,male,24.0,0,1,PC 17558,247.5208,C
0,3,female,2.0,4,2,347082,31.275,S
0,2,male,21.0,2,0,S.O.C. 14879,73.5,S
0,3,male,28.0,0,0,A4. 54510,8.05,S
0,2,male,32.5,1,0,237736,30.0708,C
1,2,female,32.5,0,0,27267,13.0,S
0,1,male,54.0,0,1,35281,77.2875,S
1,3,male,12.0,1,0,2651,11.2417,C
0,3,male,28.0,0,0,370372,7.75,Q
1,3,male,24.0,0,0,C 17369,7.1417,S
1,3,female,28.0,1,1,2668,22.3583,C
0,3,male,45.0,0,0,347061,6.975,S
0,3,male,33.0,0,0,349241,7.8958,C
0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S
0,3,female,47.0,1,0,A/5. 3337,14.5,S
1,2,female,29.0,1,0,228414,26.0,S
0,2,male,25.0,0,0,C.A. 29178,13.0,S
0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,C
1,1,female,19.0,0,2,11752,26.2833,S
0,1,male,37.0,1,0,113803,53.1,S
0,3,male,16.0,0,0,7534,9.2167,S
0,1,male,24.0,0,0,PC 17593,79.2,C
0,3,female,28.0,0,2,2678,15.2458,C
1,3,female,22.0,0,0,347081,7.75,S
1,3,female,24.0,1,0,STON/O2. 3101279,15.85,S
0,3,male,19.0,0,0,365222,6.75,Q
0,2,male,18.0,0,0,231945,11.5,S
0,2,male,19.0,1,1,C.A. 33112,36.75,S
1,3,male,27.0,0,0,350043,7.7958,S
0,3,female,9.0,2,2,W./C. 6608,34.375,S
0,2,male,36.5,0,2,230080,26.0,S
0,2,male,42.0,0,0,244310,13.0,S
0,2,male,51.0,0,0,S.O.P. 1166,12.525,S
1,1,female,22.0,1,0,113776,66.6,S
0,3,male,55.5,0,0,A.5. 11206,8.05,S
0,3,male,40.5,0,2,A/5. 851,14.5,S
